import time: self [us] | cumulative | imported package
import time:       170 |        362 | django.conf.urls
import time:       411 |        411 | django.contrib.auth.backends
import time:       495 |        495 | django.contrib.auth.views
import time:        73 |         73 |   django.contrib.sessions.backends
import time:       414 |        487 | django.contrib.sessions.backends.base
import time:        87 |         87 | django.contrib.sessions.exceptions
import time:       619 |        619 |   PIL._version
import time:       337 |        956 | PIL
import time:      3317 |       3317 |   PIL.ExifTags
import time:       177 |        177 |     PIL._deprecate
import time:       526 |        703 |   PIL.ImageMode
import time:       488 |        488 |   PIL.TiffTags
import time:       214 |        214 |   PIL._binary
import time:       266 |        266 |     PIL._typing
import time:       184 |        450 |   PIL._util
import time:        29 |         29 |   defusedxml
import time:      3948 |       3948 |   PIL._imaging
import time:      1327 |      10474 | PIL.Image
import time:        28 |         28 | gc
